,GPG,AGPG,GAPG,AGAPG
Anaheim,2.65,2.56,3.25,3.48
Boston,3.23,2.93,3,3
Buffalo,3.07,2.82,2.9,3.26
Calgary ,3.2,3,2.88,3.05
Carolina,3.41,3.34,2.7,2.75
Chicago,2.55,2.3,3.12,3.64
Colorado,3.4,3.17,2.82,3.09
Columbus,2.89,2.69,3.42,3.66
Dallas ,3.42,3.34,2.8,2.9
Detroit,3.2,3,3.05,3.38
Edmonton,3.5,3.24,2.71,2.99
Florida ,3.2,3.1,2.73,2.75
Los Angeles,3.23,3.02,2.7,2.8
Minnesota,2.92,2.99,2.77,2.91
Montreal ,2.6,2.59,3.53,3.55
Nashville ,3.4,3.29,2.99,3.05
New Jersey ,3.33,3.35,2.98,3
NY Islanders ,2.99,2.93,2.68,2.88
NY Rangers,3.4,3.25,2.83,2.96
Ottawa,3.21,3,3.03,3.12
Philadelphia,3,2.96,2.9,3.12
Pittsburgh,3.37,3.13,2.98,3.13
San Jose,2.5,2.3,3.6,3.75
Seattle,2.73,2.7,2.73,2.9
St Louis ,3.1,2.64,3.05,3.3
Tampa Bay,3.4,3.12,2.9,3.19
Toronto,3.4,3.3,3.1,2.98
Utah,3.17,2.9,3.06,3.34
Vancouver,3.32,3.08,2.75,3
Vegas,3.2,3.04,2.7,3.21
Washington,3.3,3.1,2.74,2.97
Winnipeg,3.23,2.95,2.72,2.82
