,GPG,AGPG,GAPG,AGAPG
Minnesota,2.8,2.99,2.58,2.96
Los Angeles,3.05,3.2,2.6,2.95
NY Islanders ,2.97,3.02,2.67,2.98
Carolina,3.6,3.59,2.7,2.75
Tampa Bay,3.13,3.14,2.7,3.17
Vancouver,3.2,3.08,2.72,3.16
Vegas,3.4,3.08,2.72,3.3
Washington,3.55,3.29,2.82,3.03
NY Rangers,3.5,3.4,2.84,3.15
New Jersey ,3.43,3.35,2.85,3.13
Seattle,2.75,2.7,2.87,3.03
Florida ,3.63,3.31,2.88,2.85
Winnipeg,3.31,3.1,2.92,3.01
Dallas ,3.39,3.13,2.93,3.29
Buffalo,3.39,2.82,2.95,3.26
Nashville ,3.36,3.29,3,3.08
Calgary ,3.2,3.07,3,3.09
Philadelphia,2.87,2.89,3,3.33
Utah,3.15,2.9,3.02,3.34
Boston,3.1,3.16,3.03,3.37
Ottawa,3.13,2.94,3.05,3.38
St Louis ,2.82,2.84,3.08,3.36
Chicago,2.55,2.4,3.12,3.67
Edmonton,3.75,3.4,3.13,3.04
Detroit,3.2,2.96,3.14,3.4
Colorado,3.44,3.14,3.18,3.09
Toronto,3.37,3.27,3.2,3.11
Anaheim,2.67,2.6,3.25,3.61
Pittsburgh,3.57,3.25,3.3,3.35
Columbus,2.83,2.62,3.42,3.7
San Jose,2.5,2.35,3.75,3.85
Montreal ,2.63,2.59,3.76,3.55
